uuid,name,description,class,datatype,units,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"AE Form, Event Onset Date",,Misc,Date,,Event Onset Date,,,,,,,,,,,,,,,,,,,
,"AE Form, Cardiovascular disorders",,Misc,Coded,,Cardiovascular disorders,,,,Cardiac Rhythm,Prolonged QT Interval,,,,,,,,,,,,,,
,"AE Form, Chemistry",,Misc,Coded,,Chemistry,,,,Blood Bilirubin Increased,LACTATE,Hypokalemia,Hypomagnesaemia,,,,,,,,,,,,
,"AE Form, Ear disorders",,Misc,Coded,,Ear disorders,,,,Neural Hearing Loss,Vestibular Nerve Disorder,,,,,,,,,,,,,,
,"AE Form, Endocrine disorders",,Misc,Coded,,Endocrine disorders,,,,Hypothyroidism,,,,,,,,,,,,,,,
,"AE Form, Enzymes",,Misc,Coded,,Enzymes,,,,AST Increased,ALT Increased,,,,,,,,,,,,,,
,"AE Form, Eye disorders",,Misc,Coded,,Eye disorders,,,,Disorder of Optic Nerve,,,,,,,,,,,,,,,
,"AE Form, Gastrointestinal disorders",,Misc,Coded,,Gastrointestinal disorders,,,,Diarrhea,Dyspepsia,Nausea,Oral Discomfort,Pancreatitis,Vomiting,,,,,,,,,,
,"AE Form, Hematology",,Misc,Coded,,Hematology,,,,Anaemia,Platelets Decreased,Absolute Neutrophil Count Low,,,,,,,,,,,,,
,"AE Form, Immune disorders",,Misc,Coded,,Immune disorders,,,,Allergic Reaction to Drug,,,,,,,,,,,,,,,
,"AE Form, Musculoskeletal disorders",,Misc,Coded,,Musculoskeletal disorders,,,,Arthritis,Arthalgia,Tendinopathy,,,,,,,,,,,,,
,"AE Form, Neurological disorders",,Misc,Coded,,Neurological disorders,,,,Dysgeusia,Paresthesia,,,,,,,,,,,,,,
,"AE Form, Reproductive system and breast disorders",,Misc,Coded,,Reproductive system and breast disorders,,,,Gynecomastia,,,,,,,,,,,,,,,
,"AE Form, Psychiatric disorders",,Misc,Coded,,Psychiatric disorders,,,,Depression,PSYCHOSIS,Seizure,Suicidal Behavior,,,,,,,,,,,,
,"AE Form, Renal and urinary disorders",,Misc,Coded,,Renal and urinary disorders,,,,Acute Renal Failure,,,,,,,,,,,,,,,
,"AE Form, Skin disorders",,Misc,Coded,,Skin disorders,,,,Mucocutaneous Symptoms,Pruritus,Hyperpigmentation of Skin,,,,,,,,,,,,,
,"AE Form, Other adverse event",,Misc,Text,,Other (enter one adverse event),,,,,,,,,,,,,,,,,,,
,"AE Form, Test name",,Misc,Text,,Test,,,,,,,,,,,,,,,,,,,
,"AE Form, Test date",,Misc,Date,,Date,,,,,,,,,,,,,,,,,,,
,"AE Form, Test result",,Misc,Text,,Value,,,,,,,,,,,,,,,,,,,
,"AE Form, Severity",,Misc,Coded,,Severity,,,,Adverse reaction grade 1,Adverse reaction grade 2,Adverse reaction grade 3,Adverse reaction grade 4,Adverse reaction grade 5,,,,,,,,,,,
,"AE Form, Adverse event related to any TB drug",,Misc,Boolean,,Is this adverse event related to any of the TB drugs in the patient's regimen?,,,,,,,,,,,,,,,,,,,
,"AE Form, List of potentially related TB drugs for AE",,Misc,Text,,"If yes, potentially related to TB drug(s)",,,,,,,,,,,,,,,,,,,
,"AE Form, Non-TB drug factors",,Misc,Text,,"Are there any other causal factors, such co-morbidities, procedures, other non-TB drugs, etc?",,,,,,,,,,,,,,,,,,,
,"AE Form, Date of outcome",,Misc,Date,,Date of outcome,,,,,,,,,,,,,,,,,,,
,"AE Form, Outcome of the AE",,Misc,Coded,,Outcome of this AE,,,,Fatal,Not resolved,Resolved,Resolved with sequelae,Resolving,Unknown,,,,,,,,,,
,"AE Form, Final changes to the TB treatment due to the AE",,Misc,Coded,,Final changes to the TB treatment regimen due to this AE,,,,No changes made to the TB treatment regimen,One or more TB drugs were temporarily dose reduced,One or more TB drugs were permanently dose reduced,One or more TB drugs were temporarily interrupted,One or more TB drugs were permanently discontinued,,,,,,,,,,,
