uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"Baseline, Consent",Consent,,Misc,,,,Has the Treatment with New Drugs Consent Form been explained and signed,Has the endTB Observational Study Consent Form been explained and signed,,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Social History",Social History,,Misc,,,,"Baseline, Married","Baseline, Homeless within past 1 year","Baseline, Not employed within past 1 year","Baseline, Refugee or displaced person","Baseline, In prison","Baseline, Health worker","Baseline, Is alcoholic","Baseline, How many alcoholic drinks per week","Baseline, Cigarette a day","Baseline, Used intravenous drugs in the past year","Baseline, Used any of the mentioned drugs in the past year",,,,,,,,,,,,,,,
,"Baseline, TB History",TB History,,Misc,,,,"Baseline, Year of First TB Treatment","Baseline, Treatment for drug-susceptible TB","Baseline, How many drug-susceptible TB treatments","Baseline, Treatment for drug-resistant TB","Baseline, How many drug-resistant TB treatments","Baseline, List of drugs taken for more than a month","Baseline, Other drug taken for more than a month","Baseline, Most recent previous TB treatment registration number",,,,,,,,,,,,,,,,,,
,"Baseline, HIV seriostatus",HIV serostatus,,Misc,,,,HIV INFECTED,Date of HIV diagnosis,CD4 COUNT,Last CD4 count date,"Baseline, Last RNA viral load","Baseline, Last RNA viral load date","Baseline, On ARV treatment",Antiretroviral treatment start date,"Baseline, Drugs used in ARV treatment",,,,,,,,,,,,,,,,,
,"Baseline, Diabetes",Diabetes (type I or II),,Misc,,,,Diabetes Mellitus,glycosylated hemoglobin A measurement,,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Cancer",Cancer,,Misc,,,,"Baseline, Has cancer","Baseline, Cancer type",,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Other psychiatric illness",Other psychiatric illness,,Misc,,,,"Baseline, Has other psychiatric illness","Baseline, Psychiatric illness type",,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Past medical history",Past medical history (Co-morbidities),,Misc,,,,"Baseline, HIV seriostatus","Baseline, Diabetes","Baseline, Chronic renal insufficiency",History of liver cirrhosis,"Baseline, Chronic obstructive pulmonary disease","Baseline, Cancer","Baseline, Heart or atherosclerotic disease","Baseline, Hepatitis B","Baseline, Hepatitis C","Baseline, Depression","Baseline, Other psychiatric illness","Baseline, Seizure disorder",,,,,,,,,,,,,,
,"Baseline, Brief Peripheral Neuropathy Screen",Brief Peripheral Neuropathy Screen,"If abnormal, fillout the baseline section of Adverse Events Log",Misc,,,,"Baseline, Pain Aching or Buring in Feet and Legs","Baseline, Pins and Needles in Feet and Legs","Baseline, Numbness in Feet and Legs",,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Visual Acuity",Visual Acuity,"If abnormal, fillout the baseline section of Adverse Events Log",Misc,,,,"Visual acuity, left eye","Visual acuity, right eye",,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Incorrect plates",Number of incorrect plates,1-11 in the book of 14 plates,Misc,,,,"Baseline, Left Eye Incorrect Plates","Baseline, Right Eye Incorrect Plates",,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Colorblindness Screen",Colorblindness Screen (Ishihara Test),"If abnormal, fillout the baseline section of Adverse Events Log",Misc,,,,"Baseline, Colorblindness Screen Result","Baseline, Incorrect plates",,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Clinical Examination",Clinical Examination,,Misc,,,,Weight (kg),Height (cm),Pulse,Respiratory rate,"Baseline, Currently pregnant",Estimated date of confinement,"Baseline, Brief Peripheral Neuropathy Screen","Baseline, Visual Acuity","Baseline, Colorblindness Screen",,,,,,,,,,,,,,,,,
,"Baseline, Case definition",Case definition,,Misc,,,,"Baseline, MDR-TB Diagnosis Date","Baseline, MRD-TB diagnosis method","Baseline, Smear result","Baseline, Culture result","Baseline, Xpert MTB RIF result","Baseline, DST results","Baseline, Disease site","Baseline, Exact extrapulmonary site","Baseline, WHO registration group",,,,,,,,,,,,,,,,,
,"Baseline, Indication for new TB drugs",Indication for new TB drugs (check all that apply),,Misc,,,,"Baseline, Patients for whom the construction of a regimen with four likely effective second-line drugs is not possible","Baseline, Other patients who have high risk of unfavorable outcome but who do not fit the above categories",,,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, New drug treatment plan",New drug treatment plan,,Misc,,,,"Baseline, Date of eligibility for new drugs","Baseline, Indication for new TB drugs","Baseline, Next scheduled visit date",,,,,,,,,,,,,,,,,,,,,,,
,"Baseline, This section is to be filled out two weeks later",Two-week followup,,Misc,,,,"Baseline, Did the patient start treatment","Baseline, Treatment start date","Baseline, Treatment setting","Baseline, Reason for not starting treatment",,,,,,,,,,,,,,,,,,,,,,
,"Baseline, Lab Results",Lab Results,,Misc,,,,"Lab, Screening",,,,,,,,,,,,,,,,,,,,,,,,,
,Baseline Template,Baseline,,Misc,,,,"Baseline, Consent","Baseline, Social History","Baseline, TB History","Baseline, Past medical history","Baseline, Clinical Examination","Baseline, Case definition","Baseline, New drug treatment plan","Baseline, This section is to be filled out two weeks later","Baseline, Lab Results",,,,,,,,,,,,,,,,,
