uuid,name,description,class,datatype,units,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33
,Measles,,Diagnosis,N/A,,Measles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diptheria,,Diagnosis,N/A,,Diptheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whooping Cough,,Diagnosis,N/A,,Whooping Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neonatal Tetanus,,Diagnosis,N/A,,Neonatal Tetanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetanus,,Diagnosis,N/A,,Tetanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute Flaccid Paralysis,,Diagnosis,N/A,,AFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rubella,,Diagnosis,N/A,,Rubella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mumps,,Diagnosis,N/A,,Mumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chicken Pox,,Diagnosis,N/A,,Chicken Pox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute Encephalitis Like Syndrome,,Diagnosis,N/A,,AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filariasis,,Diagnosis,N/A,,Filariasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinical Malaria,,Diagnosis,N/A,,Clinical Malaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plasmodium Falciparum,,Diagnosis,N/A,,Plasmodium Falciparum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plasmodium Vivax,,Diagnosis,N/A,,Plasmodium Vivax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dengue Fever,,Diagnosis,N/A,,Dengue Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
