uuid,name,description,class,datatype,units,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"Lab, Hematology test sample collected",,Misc,Boolean,,Was the hematology test sample collected at this visit?,,,,,,,,,,,,,,,,,,,
,"Lab, Test done",,Misc,Boolean,,Test done?,,,,,,,,,,,,,,,,,,,
,"Lab, Hemoglobin test result",,Misc,Numeric,mmol/L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Reported as AE",,Misc,Boolean,,Reported as AE?,,,,,,,,,,,,,,,,,,,
,"Lab, Hematocrit test result",,Misc,Numeric,%,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Platelet count test result",,Misc,Numeric,x10<sup>9</sup> / L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, RBC count test result",,Misc,Numeric,x10<sup>12</sup> / L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, WBC test result",,Misc,Numeric,x10<sup>9</sup> / L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Neutrophils test result",,Misc,Numeric,x10<sup>9</sup> / L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Absolute neutrophil count test result",,Misc,Numeric,x10<sup>9</sup> / L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Chemistry test sample collected",,Misc,Boolean,,Was the chemistry test sample collected at this visit?,,,,,,,,,,,,,,,,,,,
,"Lab, Potassium test result",,Misc,Numeric,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Potassium test result unit",,Misc,Coded,,Unit,,,,mg/dL,mmol/L,,,,,,,,,,,,,,
,"Lab, Urea test result",,Misc,Numeric,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Urea test result unit",,Misc,Coded,,Unit,,,,mg/dL,mmol/L,,,,,,,,,,,,,,
,"Lab, Creatinine test result",,Misc,Numeric,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Creatinine test result unit",,Misc,Coded,,Unit,,,,mg/dL,mmol/L,,,,,,,,,,,,,,
,"Lab, Glucose test result",,Misc,Numeric,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Glucose test result unit",,Misc,Coded,,Unit,,,,mg/dL,mmol/L,,,,,,,,,,,,,,
,"Lab, TSH test result",,Misc,Numeric,mlU/L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, AST test result",,Misc,Numeric,IU/L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, AST test result upper limit of normal",,Misc,Numeric,IU/L,Upper limit of normal,,,,,,,,,,,,,,,,,,,
,"Lab, ALT test result",,Misc,Numeric,IU/L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, ALT test result upper limit of normal",,Misc,Numeric,IU/L,Upper limit of normal,,,,,,,,,,,,,,,,,,,
,"Lab, Total bilirubin test result",,Misc,Numeric,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Total bilirubin test result upper limit of normal",,Misc,Numeric,,Upper limit of normal,,,,,,,,,,,,,,,,,,,
,"Lab, Total bilirubin test result unit",,Misc,Coded,,Unit,,,,mg/dL,mmol/L,,,,,,,,,,,,,,
,"Lab, Screening test sample collected",,Misc,Boolean,,Was the baseline screening test sample collected at this visit?,,,,,,,,,,,,,,,,,,,
,"Lab, Urine pregnancy test result",,Misc,Coded,,Test result,,,,Positive,Negative,Indeterminate,,,,,,,,,,,,,
,"Lab, Rapid HIV test result",,Misc,Coded,,Test result,,,,Positive,Negative,Indeterminate,,,,,,,,,,,,,
,"Lab, CD4 count test result",,Misc,Numeric,x10<sup>9</sup> / L,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, RNA viral load test result",,Misc,Numeric,copies/ml,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, HbA1c test result",,Misc,Numeric,%,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Hepatitis B antigen test result",,Misc,Text,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Hepatitis C antibody test result",,Misc,Text,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Albumin test result",,Misc,Numeric,,Test result,,,,,,,,,,,,,,,,,,,
,"Lab, Albumin test result unit",,Misc,Coded,,Unit,,,,g/L,mmol/L,,,,,,,,,,,,,,
